customer_id,company_name,segment,industry,company_size,location,annual_revenue,order_frequency,avg_order_value,last_order_days,total_orders,contract_value,employee_count,relationship_years,satisfaction_score,nps_score,preferred_contact,payment_method,has_online_account,has_mobile_app,has_integration,is_active,customer_lifetime_value,avg_monthly_revenue,engagement_score,churn_risk
32,Grup A.Ş.,Bronze,Perakende,Büyük Ölçekli,Istanbul,1122,28,40,53,28,7621501,164,3,6.68,10,Telefon,Havale/EFT,True,True,False,True,2692.8,93.5,0.52,Orta
33,Mega Teknoloji,Bronze,Sağlık,Küçük Ölçekli,Istanbul,260788,7,37255,20,7,3074294,55,2,10.0,5,E-posta,Vadeli Ödeme,False,True,False,True,417260.80000000005,21732.333333333332,0.44,Orta
34,Pro Teknoloji,Bronze,Teknoloji,Küçük Ölçekli,Eskişehir,18065,13,1389,45,13,9218935,113,2,10.0,2,Web Site,Havale/EFT,True,False,True,True,28904.0,1505.4166666666667,0.46,Orta
35,Sistem Teknoloji,Silver,Perakende,Küçük Ölçekli,Trabzon,4882,26,187,9,26,1233883,112,19,9.4,7,E-posta,Havale/EFT,True,True,False,True,74206.40000000001,406.8333333333333,0.67,Düşük
36,Star A.Ş.,Gold,Eğitim,Orta Ölçekli,Konya,110397,9,12266,13,9,1600495,47,1,10.0,7,Web Site,Kurumsal Kredi Kartı,True,False,True,True,88317.6,9199.75,0.44,Orta
37,Anadolu Teknoloji,Bronze,Üretim,Küçük Ölçekli,Ankara,56186,38,1478,17,38,3766104,80,7,8.92,7,Mağaza,Havale/EFT,True,False,True,True,314641.60000000003,4682.166666666667,0.55,Düşük
38,Mega Ltd. Şti.,Gold,Perakende,Büyük Ölçekli,Istanbul,5370,30,179,24,30,2633447,75,1,7.86,3,Telefon,Kurumsal Kredi Kartı,True,True,False,False,4296.0,447.5,0.56,Düşük
39,Türk Holding,Silver,İnşaat,Büyük Ölçekli,Bursa,11885,20,594,22,20,1569361,61,4,7.7,6,Mobil Uygulama,Kurumsal Kredi Kartı,True,False,True,True,38032.0,990.4166666666666,0.43,Düşük
40,Pro A.Ş.,Premium,Perakende,Büyük Ölçekli,Ankara,204978,30,6832,9,30,47947811,33,4,6.46,10,Web Site,Çek,True,True,True,True,655929.6000000001,17081.5,0.53,Orta
41,Anadolu Ticaret,Bronze,Perakende,Orta Ölçekli,Istanbul,5174,29,178,71,29,2634449,66,10,8.21,8,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,False,True,41392.0,431.1666666666667,0.6,Yüksek
42,Global A.Ş.,Premium,Eğitim,Büyük Ölçekli,Izmir,84081,24,3503,87,24,2224816,12,4,6.68,4,Web Site,Kurumsal Kredi Kartı,False,True,False,True,269059.2,7006.75,0.41,Yüksek
43,Tech Holding,Gold,Sağlık,Küçük Ölçekli,Istanbul,336046,16,21002,9,16,27975496,128,9,10.0,6,E-posta,Çek,True,True,True,True,2419531.2,28003.833333333332,0.6,Düşük
44,Grup Teknoloji,Silver,Teknoloji,Orta Ölçekli,Mersin,730,40,18,15,40,1606589,72,2,7.18,8,Mobil Uygulama,Çek,False,True,True,True,1168.0,60.833333333333336,0.48,Orta
45,Anadolu Holding,Bronze,Perakende,Orta Ölçekli,Istanbul,10561,11,960,49,11,4238760,165,2,10.0,9,Mağaza,Kurumsal Kredi Kartı,True,False,True,True,16897.600000000002,880.0833333333334,0.45,Orta
46,Türk Ltd. Şti.,Silver,Finans,Küçük Ölçekli,Bursa,39135,13,3010,46,13,5972933,29,11,6.29,4,Telefon,Havale/EFT,False,True,False,True,344388.0,3261.25,0.39,Orta
47,Pro A.Ş.,Gold,Teknoloji,Orta Ölçekli,Ankara,2696,22,122,110,22,12203690,56,2,7.85,7,Mobil Uygulama,Çek,True,True,True,False,4313.6,224.66666666666666,0.53,Yüksek
48,Star Sanayi,Premium,Perakende,Küçük Ölçekli,Izmir,24881,21,1184,89,21,2936323,256,7,8.18,7,E-posta,Kurumsal Kredi Kartı,True,False,True,False,139333.6,2073.4166666666665,0.46,Yüksek
49,Grup Ltd. Şti.,Bronze,Hizmet,Küçük Ölçekli,Izmir,84423,28,3015,63,28,2296907,79,1,8.03,7,Web Site,Havale/EFT,True,True,True,True,67538.40000000001,7035.25,0.56,Yüksek
50,Tech A.Ş.,Bronze,İnşaat,Küçük Ölçekli,Istanbul,6126,19,322,27,19,834173,248,2,8.44,8,Mağaza,Kurumsal Kredi Kartı,True,True,True,True,9801.6,510.5,0.54,Düşük
51,Grup Teknoloji,Bronze,Perakende,Orta Ölçekli,Trabzon,1901,34,55,13,34,1384416,55,1,9.93,7,E-posta,Kurumsal Kredi Kartı,True,True,False,True,1520.8000000000002,158.41666666666666,0.64,Düşük
52,Grup Ltd. Şti.,Silver,Eğitim,Küçük Ölçekli,Konya,144144,32,4504,23,32,2134650,269,3,10.0,7,E-posta,Havale/EFT,True,True,True,True,345945.60000000003,12012.0,0.64,Düşük
53,Anadolu Ltd. Şti.,Bronze,Üretim,Küçük Ölçekli,Kayseri,34324,15,2288,45,15,512889,72,8,8.89,6,Mağaza,Çek,False,True,False,True,219673.6,2860.3333333333335,0.46,Orta
54,Star Sanayi,Silver,Hizmet,Küçük Ölçekli,Mersin,23838,16,1489,4,16,3182540,26,6,8.21,6,E-posta,Vadeli Ödeme,False,True,False,False,114422.40000000002,1986.5,0.44,Düşük
55,Tech A.Ş.,Silver,Sağlık,Büyük Ölçekli,Antalya,22804,20,1140,37,20,2108401,76,2,6.97,8,E-posta,Kurumsal Kredi Kartı,True,False,True,True,36486.4,1900.3333333333333,0.4,Orta
56,Net Teknoloji,Silver,Turizm,Küçük Ölçekli,Kayseri,123592,15,8239,68,15,1225401,115,4,8.32,10,Web Site,Kurumsal Kredi Kartı,True,True,True,True,395494.4,10299.333333333334,0.53,Yüksek
57,Tech Ticaret,Silver,Perakende,Küçük Ölçekli,Istanbul,41114,16,2569,8,16,825260,126,4,6.37,1,Mobil Uygulama,Vadeli Ödeme,True,True,False,True,131564.80000000002,3426.1666666666665,0.47,Orta
58,Net Ltd. Şti.,Bronze,Perakende,Büyük Ölçekli,Istanbul,46410,22,2109,51,22,249176,77,7,8.19,7,E-posta,Kurumsal Kredi Kartı,True,True,True,True,259896.00000000003,3867.5,0.56,Orta
59,Pro Ticaret,Silver,İnşaat,Küçük Ölçekli,Istanbul,9353,27,346,67,27,21776300,75,1,10.0,7,Web Site,Çek,True,True,False,True,7482.400000000001,779.4166666666666,0.61,Yüksek
60,Sistem Ticaret,Gold,Üretim,Küçük Ölçekli,Ankara,2234,18,124,3,18,17504940,31,7,10.0,6,Telefon,Havale/EFT,False,True,False,True,12510.400000000001,186.16666666666666,0.5,Düşük
61,Star Ticaret,Gold,Hizmet,Küçük Ölçekli,Ankara,100776,35,2879,96,35,855437,13,2,9.0,3,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,False,True,161241.6,8398.0,0.62,Yüksek
62,Anadolu Sanayi,Premium,Üretim,Büyük Ölçekli,Istanbul,287127,33,8700,21,33,417310,10,6,10.0,5,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,True,True,1378209.6,23927.25,0.66,Düşük
63,Net Ticaret,Silver,Sağlık,Küçük Ölçekli,Gaziantep,18872,32,589,19,32,5236086,53,1,7.64,8,E-posta,Kurumsal Kredi Kartı,True,False,False,False,15097.6,1572.6666666666667,0.46,Düşük
64,Grup Sanayi,Gold,Eğitim,Büyük Ölçekli,Ankara,150154,27,5561,28,27,1987747,37,7,7.25,5,Web Site,Kurumsal Kredi Kartı,True,True,True,False,840862.4,12512.833333333334,0.55,Orta
65,Global Ltd. Şti.,Premium,İnşaat,Küçük Ölçekli,Istanbul,33305,28,1189,8,28,2065419,230,7,7.27,6,Web Site,Kurumsal Kredi Kartı,True,True,False,True,186508.00000000003,2775.4166666666665,0.56,Orta
66,Star Sanayi,Silver,Hizmet,Büyük Ölçekli,Izmir,23069,37,623,33,37,2801791,8,2,8.2,0,Telefon,Kurumsal Kredi Kartı,False,True,True,True,36910.4,1922.4166666666667,0.5,Orta
67,Net Sanayi,Silver,Teknoloji,Büyük Ölçekli,Istanbul,366210,18,20345,50,18,1767684,176,12,10.0,5,Mobil Uygulama,Kurumsal Kredi Kartı,False,True,True,True,3515616.0000000005,30517.5,0.52,Orta
68,Star A.Ş.,Bronze,Üretim,Orta Ölçekli,Konya,11379,25,455,12,25,19532403,76,4,6.81,9,Mağaza,Havale/EFT,True,True,False,True,36412.8,948.25,0.52,Orta
69,Global Sanayi,Silver,Hizmet,Küçük Ölçekli,Istanbul,15622,31,503,9,31,942482,162,5,9.41,7,Telefon,Kurumsal Kredi Kartı,True,False,False,True,62488.0,1301.8333333333333,0.53,Düşük
70,Sistem Teknoloji,Bronze,Üretim,Küçük Ölçekli,Samsun,1066,14,76,74,14,986704,21,2,9.81,3,E-posta,Vadeli Ödeme,True,True,True,True,1705.6000000000001,88.83333333333333,0.56,Yüksek
71,Pro Sanayi,Bronze,Hizmet,Büyük Ölçekli,Konya,49610,31,1600,19,31,1255522,235,4,8.84,3,Mağaza,Çek,True,True,False,True,158752.0,4134.166666666667,0.6,Düşük
72,Global Ticaret,Bronze,Perakende,Büyük Ölçekli,Istanbul,6075,22,276,30,22,1862447,47,1,7.51,10,E-posta,Kurumsal Kredi Kartı,False,True,True,True,4860.0,506.25,0.42,Düşük
73,Tech A.Ş.,Silver,Hizmet,Orta Ölçekli,Istanbul,32963,28,1177,58,28,9305485,386,2,9.14,6,E-posta,Çek,False,True,False,True,52740.8,2746.9166666666665,0.49,Orta
74,Pro Teknoloji,Gold,Sağlık,Küçük Ölçekli,Konya,24716,25,988,38,25,2248097,149,1,8.79,8,Web Site,Havale/EFT,True,True,False,True,19772.800000000003,2059.6666666666665,0.57,Orta
75,Mega Teknoloji,Bronze,Eğitim,Orta Ölçekli,Bursa,9028,17,531,12,17,1561130,193,2,9.6,7,E-posta,Kurumsal Kredi Kartı,True,True,True,True,14444.800000000001,752.3333333333334,0.56,Düşük
76,Pro Sanayi,Gold,Hizmet,Orta Ölçekli,Adana,33229,30,1107,1,30,2699609,8,1,10.0,4,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,False,True,26583.2,2769.0833333333335,0.62,Düşük
77,Sistem Teknoloji,Gold,Perakende,Küçük Ölçekli,Konya,37291,43,867,19,43,1065164,5,2,6.73,7,Mobil Uygulama,Havale/EFT,True,True,False,True,59665.600000000006,3107.5833333333335,0.58,Orta
78,Pro A.Ş.,Silver,Hizmet,Orta Ölçekli,Istanbul,154266,25,6170,9,25,7135571,25,9,9.16,3,Web Site,Havale/EFT,True,True,False,True,1110715.2,12855.5,0.61,Düşük
79,Grup Teknoloji,Premium,Eğitim,Orta Ölçekli,Ankara,538535,27,19945,17,27,1694117,125,4,9.42,9,E-posta,Vadeli Ödeme,True,False,True,True,1723312.0,44877.916666666664,0.51,Düşük
80,Anadolu Ticaret,Bronze,Hizmet,Orta Ölçekli,Istanbul,46766,22,2125,19,22,5494239,99,5,9.22,2,Web Site,Havale/EFT,True,True,True,True,187064.0,3897.1666666666665,0.59,Düşük
81,Mega Ltd. Şti.,Silver,Sağlık,Küçük Ölçekli,Gaziantep,178020,14,12715,61,14,8827247,162,3,9.26,8,Web Site,Kurumsal Kredi Kartı,False,True,True,True,427248.00000000006,14835.0,0.45,Yüksek
82,Star Ltd. Şti.,Silver,Hizmet,Küçük Ölçekli,Antalya,95181,32,2974,44,32,2229359,165,7,7.99,10,E-posta,Çek,True,True,True,True,533013.6000000001,7931.75,0.6,Orta
83,Anadolu Holding,Silver,Perakende,Küçük Ölçekli,Ankara,55505,17,3265,7,17,14250998,179,13,6.92,9,Telefon,Çek,True,True,True,True,577252.0,4625.416666666667,0.53,Orta
84,Star Teknoloji,Silver,Eğitim,Orta Ölçekli,Istanbul,234458,24,9769,12,24,1822338,520,7,6.19,10,Mobil Uygulama,Kurumsal Kredi Kartı,True,False,False,True,1312964.8,19538.166666666668,0.41,Orta
85,Anadolu Sanayi,Premium,Perakende,Küçük Ölçekli,Ankara,7735,21,368,27,21,8112318,108,2,10.0,6,Mağaza,Kurumsal Kredi Kartı,True,False,False,False,12376.0,644.5833333333334,0.49,Düşük
86,Grup Ticaret,Silver,Hizmet,Büyük Ölçekli,Ankara,9467,7,1352,26,7,16548766,75,1,8.53,7,Mağaza,Çek,True,True,True,True,7573.6,788.9166666666666,0.49,Orta
87,Mega Ticaret,Silver,Perakende,Küçük Ölçekli,Adana,7715,9,857,24,9,1195968,52,1,9.05,5,Web Site,Kurumsal Kredi Kartı,True,True,True,True,6172.0,642.9166666666666,0.51,Orta
88,Net Sanayi,Silver,Perakende,Küçük Ölçekli,Antalya,16818,18,934,92,18,5874103,345,11,8.75,8,Telefon,Vadeli Ödeme,False,True,False,True,147998.40000000002,1401.5,0.48,Yüksek
89,Mega Ltd. Şti.,Bronze,Hizmet,Küçük Ölçekli,Mersin,49301,18,2738,36,18,845306,110,3,8.25,8,E-posta,Çek,True,True,True,True,118322.40000000002,4108.416666666667,0.53,Orta
90,Sistem Teknoloji,Gold,Hizmet,Orta Ölçekli,Izmir,7443,22,338,4,22,5128763,128,1,10.0,6,Web Site,Vadeli Ödeme,True,False,True,True,5954.400000000001,620.25,0.49,Düşük
91,Global Ltd. Şti.,Gold,Sağlık,Küçük Ölçekli,Istanbul,84287,29,2906,85,29,1642969,137,13,8.05,7,E-posta,Havale/EFT,True,True,True,False,876584.8,7023.916666666667,0.61,Yüksek
92,Mega Ltd. Şti.,Gold,Sağlık,Küçük Ölçekli,Bursa,16435,26,632,19,26,1545566,38,3,9.59,6,Mobil Uygulama,Vadeli Ödeme,True,True,False,True,39444.00000000001,1369.5833333333333,0.6,Düşük
93,Global Ticaret,Gold,Sağlık,Orta Ölçekli,Adana,23557,17,1385,27,17,3268931,132,9,8.36,8,Web Site,Vadeli Ödeme,True,True,True,True,169610.4,1963.0833333333333,0.56,Düşük
94,Pro Teknoloji,Bronze,Hizmet,Küçük Ölçekli,Izmir,23800,17,1400,52,17,6739491,31,2,5.2,0,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,False,True,38080.0,1983.3333333333333,0.43,Yüksek
95,Mega A.Ş.,Bronze,Üretim,Küçük Ölçekli,Konya,219416,43,5102,8,43,3187162,78,2,7.59,10,Mağaza,Çek,False,True,False,True,351065.60000000003,18284.666666666668,0.51,Düşük
96,Global Teknoloji,Gold,Üretim,Küçük Ölçekli,Izmir,13619,41,332,22,41,2577313,19,19,10.0,4,Web Site,Vadeli Ödeme,True,True,False,True,207008.80000000002,1134.9166666666667,0.74,Düşük
97,Global A.Ş.,Silver,Hizmet,Küçük Ölçekli,Izmir,23439,24,976,59,24,5118144,79,2,7.12,6,Telefon,Kurumsal Kredi Kartı,False,True,False,True,37502.4,1953.25,0.42,Orta
98,Anadolu A.Ş.,Silver,Üretim,Büyük Ölçekli,Ankara,5244,12,437,41,12,5015097,232,12,9.51,2,Telefon,Havale/EFT,True,True,False,True,50342.40000000001,437.0,0.58,Orta
99,Mega Holding,Gold,Turizm,Küçük Ölçekli,Istanbul,13424,23,583,13,23,11510989,51,3,9.02,7,Web Site,Havale/EFT,False,True,False,True,32217.600000000006,1118.6666666666667,0.47,Düşük
100,Türk Teknoloji,Gold,Perakende,Küçük Ölçekli,Istanbul,7760,46,168,27,46,1759993,64,2,8.64,8,Web Site,Kurumsal Kredi Kartı,True,True,True,True,12416.0,646.6666666666666,0.65,Düşük
101,Anadolu Ltd. Şti.,Bronze,İnşaat,Orta Ölçekli,Istanbul,25438,22,1156,1,22,1715808,100,4,8.77,8,Web Site,Kurumsal Kredi Kartı,True,True,False,True,81401.6,2119.8333333333335,0.57,Düşük
102,Türk Teknoloji,Silver,Perakende,Orta Ölçekli,Antalya,50025,12,4168,2,12,6273368,701,2,9.45,6,Telefon,Çek,True,True,False,True,80040.0,4168.75,0.54,Düşük
103,Pro Ticaret,Bronze,Teknoloji,Büyük Ölçekli,Ankara,49386,41,1204,4,41,11413070,260,1,8.95,6,E-posta,Havale/EFT,True,False,True,True,39508.8,4115.5,0.53,Düşük
104,Pro Teknoloji,Gold,Teknoloji,Büyük Ölçekli,Izmir,12801,39,328,36,39,2970766,57,1,6.96,6,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,True,True,10240.800000000001,1066.75,0.57,Orta
105,Pro Sanayi,Silver,Üretim,Küçük Ölçekli,Mersin,56626,19,2980,30,19,2105520,414,1,10.0,5,Mağaza,Kurumsal Kredi Kartı,True,True,True,True,45300.8,4718.833333333333,0.58,Düşük
106,Türk Ltd. Şti.,Gold,Perakende,Orta Ölçekli,Istanbul,46978,16,2936,75,16,3179814,142,4,10.0,8,Telefon,Vadeli Ödeme,True,False,False,True,150329.6,3914.8333333333335,0.48,Yüksek
107,Tech Sanayi,Gold,İnşaat,Büyük Ölçekli,Ankara,36357,23,1580,37,23,6851318,16,2,6.51,9,Telefon,Çek,True,True,True,True,58171.200000000004,3029.75,0.49,Orta
108,Tech Holding,Silver,Finans,Orta Ölçekli,Adana,4105,32,128,17,32,2948847,422,1,7.78,7,E-posta,Havale/EFT,True,True,False,True,3284.0,342.0833333333333,0.56,Düşük
109,Grup Teknoloji,Gold,Üretim,Orta Ölçekli,Istanbul,49894,39,1279,61,39,1847076,126,1,10.0,8,Web Site,Çek,True,True,False,True,39915.200000000004,4157.833333333333,0.66,Yüksek
110,Anadolu Teknoloji,Gold,Hizmet,Orta Ölçekli,Istanbul,52324,32,1635,2,32,2802444,107,2,7.67,7,Mağaza,Vadeli Ödeme,True,False,False,False,83718.40000000001,4360.333333333333,0.47,Düşük
111,Türk Ticaret,Gold,Turizm,Büyük Ölçekli,Istanbul,46183,29,1592,1,29,1643996,346,8,9.26,4,Mobil Uygulama,Kurumsal Kredi Kartı,True,True,False,True,295571.2,3848.5833333333335,0.63,Düşük
112,Grup Teknoloji,Premium,Finans,Orta Ölçekli,Istanbul,100344,17,5902,9,17,1621971,76,8,8.33,7,Telefon,Havale/EFT,True,False,True,True,642201.6000000001,8362.0,0.45,Düşük
113,Star Ticaret,Silver,Hizmet,Küçük Ölçekli,Kayseri,74922,21,3567,5,21,4408458,25,14,10.0,6,Mağaza,Havale/EFT,False,False,False,True,839126.4,6243.5,0.44,Düşük
114,Net A.Ş.,Silver,Sağlık,Büyük Ölçekli,Konya,5091,30,169,10,30,995751,38,6,8.11,8,Mağaza,Havale/EFT,True,True,False,False,24436.800000000003,424.25,0.59,Düşük
115,Pro Holding,Premium,Üretim,Küçük Ölçekli,Antalya,39785,46,864,11,46,1670335,92,2,5.97,7,Web Site,Vadeli Ödeme,True,True,True,True,63656.0,3315.4166666666665,0.57,Yüksek
116,Grup Ticaret,Gold,Üretim,Büyük Ölçekli,Mersin,85942,21,4092,19,21,1024835,30,5,9.43,8,Web Site,Çek,True,True,True,True,343768.0,7161.833333333333,0.59,Düşük
117,Pro Ltd. Şti.,Premium,Teknoloji,Orta Ölçekli,Konya,36816,32,1150,29,32,2155221,37,3,10.0,7,E-posta,Kurumsal Kredi Kartı,True,False,True,True,88358.40000000001,3068.0,0.54,Düşük
118,Pro Holding,Silver,Hizmet,Orta Ölçekli,Istanbul,111463,21,5307,14,21,1548851,254,1,9.12,8,Mobil Uygulama,Vadeli Ödeme,True,True,True,True,89170.40000000001,9288.583333333334,0.56,Düşük
119,Anadolu Sanayi,Premium,Perakende,Büyük Ölçekli,Mersin,63042,29,2173,103,29,1980946,57,1,7.32,10,Mobil Uygulama,Havale/EFT,True,True,False,True,50433.600000000006,5253.5,0.54,Yüksek
120,Türk Holding,Bronze,Teknoloji,Orta Ölçekli,Izmir,938,34,27,24,34,1334830,160,7,8.09,9,E-posta,Havale/EFT,True,True,True,True,5252.8,78.16666666666667,0.61,Düşük
121,Grup Sanayi,Premium,Sağlık,Orta Ölçekli,Konya,193965,24,8081,63,24,251027,66,18,8.89,8,Mağaza,Kurumsal Kredi Kartı,True,True,False,True,2793096.0,16163.75,0.64,Yüksek
122,Star Ltd. Şti.,Gold,Turizm,Orta Ölçekli,Mersin,33260,22,1511,49,22,13127600,99,6,9.43,5,E-posta,Vadeli Ödeme,True,True,False,True,159648.00000000003,2771.6666666666665,0.6,Orta
123,Mega Holding,Bronze,Turizm,Küçük Ölçekli,Ankara,1239,15,82,2,15,4929627,369,6,9.69,7,Mobil Uygulama,Havale/EFT,True,True,False,True,5947.200000000001,103.25,0.58,Düşük
124,Net Holding,Silver,Üretim,Büyük Ölçekli,Istanbul,18103,35,517,20,35,1576055,6,9,8.25,8,Telefon,Kurumsal Kredi Kartı,False,False,False,True,130341.6,1508.5833333333333,0.42,Düşük
